Schurn,dist_KL_GEN,dist_KL_LR,dist_KS_GEN,dist_KS_LR,dist_W1_GEN,dist_W1_LR,ext_P95_GEN,ext_P95_HR,ext_P95_ratio_GEN_HR,ext_P99_GEN,ext_P99_HR,ext_P99_ratio_GEN_HR,ext_wetfreq_GEN,ext_wetfreq_HR,ext_wetfreq_ratio_GEN_HR,ext_wethit_GEN,prob_CRPS_mean,prob_EnergyScore_mean,prob_PIT_KS_D,prob_PMM_MAE_mean,prob_RankHist_max_abs_z,prob_SpreadSkill_r,prob_SpreadSkill_slope,prob_VariogramScore_mean,rho,sampler_id,scale_FSS_ens_mean,scale_FSS_gen_mean,scale_FSS_lr_mean,scale_ISS_ens_mean,scale_ISS_gen_mean,scale_ISS_lr_mean,sigma_scale
2.0,0.005908,0.018361,0.578462,0.137082,1.820141,0.34384,7.880719,9.86766,0.7986411165362406,15.244114,18.662495,0.816831511542267,0.312623,0.333612,0.9370855964413749,0.793205,0.734582,nan,0.067321,1.091343,189.671599,0.916254,0.949061,nan,7.0,rho=7.00_Schurn=2.00_sigscale=1.05,,0.592581,,,0.830127,,1.05
2.0,0.00581,0.019939,0.587617,0.141555,1.755427,0.335405,7.537756,9.386899,0.8030081073632517,14.795211,17.48773,0.8460338191406204,0.30758,0.326421,0.9422800616381912,0.793138,0.692285,nan,0.059886,1.030638,168.043032,0.91013,0.933286,nan,7.0,rho=7.00_Schurn=2.00_sigscale=1.10,,0.589781,,,0.832603,,1.1
0.0,0.013958,0.018533,0.582651,0.13692,1.639924,0.331303,7.04372,9.777214,0.7204219934226662,13.860748,17.974087,0.7711517141315717,0.291799,0.331229,0.8809584909533886,0.760573,0.754996,nan,0.108305,1.082173,330.53971,0.907489,1.025566,nan,9.0,rho=9.00_Schurn=0.00_sigscale=0.90,,0.589129,,,0.829214,,0.9
0.0,0.010692,0.017889,0.584195,0.141685,1.652117,0.336282,7.204094,9.623388,0.7486026750662034,14.213518,18.402887,0.7723526205426355,0.290199,0.328384,0.8837184515688948,0.759346,0.744107,nan,0.097856,1.069758,290.008924,0.913813,0.997797,nan,9.0,rho=9.00_Schurn=0.00_sigscale=0.95,,0.587326,,,0.828617,,0.95
0.0,0.010017,0.017733,0.585668,0.138058,1.687044,0.334493,7.295378,9.628911,0.7576534875023769,14.295206,17.953706,0.796225915696737,0.294377,0.328351,0.8965314556678676,0.77175,0.733378,nan,0.097368,1.064349,267.804112,0.905992,0.976595,nan,9.0,rho=9.00_Schurn=0.00_sigscale=1.00,,0.598898,,,0.83058,,1.0
0.0,0.009016,0.018036,0.581322,0.136329,1.689345,0.31421,7.292017,9.443925,0.7721383852582481,14.152269,17.578322,0.805097835845765,0.300448,0.33035,0.9094838807325564,0.777293,0.716309,nan,0.088794,1.04716,265.733728,0.905381,0.956657,nan,9.0,rho=9.00_Schurn=0.00_sigscale=1.05,,0.593802,,,0.831917,,1.05
0.0,0.009579,0.017109,0.582072,0.140021,1.748022,0.321675,7.566965,9.955837,0.760053122605362,14.879419,18.572697,0.8011447664278375,0.303033,0.333343,0.9090726368935301,0.780235,0.750515,nan,0.086104,1.092334,250.580521,0.915017,0.981769,nan,9.0,rho=9.00_Schurn=0.00_sigscale=1.10,,0.598649,,,0.829631,,1.1
0.5,0.011297,0.016495,0.57998,0.139739,1.690106,0.32,7.273336,9.753233,0.7457359011109445,14.211164,18.288767,0.7770433075122013,0.297257,0.335176,0.8868683915316133,0.767466,0.755051,nan,0.098562,1.093177,295.810099,0.908579,0.996,nan,9.0,rho=9.00_Schurn=0.50_sigscale=0.90,,0.590983,,,0.828396,,0.9
0.5,0.01031,0.019105,0.575021,0.141933,1.71946,0.328656,7.387672,9.742336,0.7583060161341182,14.471026,18.456343,0.784067894706985,0.303886,0.336904,0.9019958207679339,0.771437,0.758145,nan,0.095134,1.104943,259.982661,0.913826,0.98774,nan,9.0,rho=9.00_Schurn=0.50_sigscale=0.95,,0.581252,,,0.824984,,0.95
0.5,0.009263,0.01829,0.585926,0.142168,1.700311,0.332826,7.331553,9.662923,0.758730355193765,14.546632,18.33095,0.7935558168016388,0.298538,0.327661,0.9111185035753417,0.777286,0.73087,nan,0.085578,1.06223,245.733681,0.902623,0.972479,nan,9.0,rho=9.00_Schurn=0.50_sigscale=1.00,,0.593443,,,0.831115,,1.0
